ano_da_pesquisa;populacao(pessoas);UF
1872;;Acre
1890;;Acre
1900;;Acre
1920;92379;Acre
1940;79768;Acre
1950;114755;Acre
1960;160208;Acre
1970;218006;Acre
1980;306893;Acre
1991;417165;Acre
2000;557882;Acre
2010;733559;Acre
2022;830018;Acre
1872;348009;Alagoas
1890;511440;Alagoas
1900;649273;Alagoas
1920;978748;Alagoas
1940;951300;Alagoas
1950;1093137;Alagoas
1960;1271062;Alagoas
1970;1606174;Alagoas
1980;2011875;Alagoas
1991;2512991;Alagoas
2000;2827856;Alagoas
2010;3120494;Alagoas
2022;3127683;Alagoas
1872;;Amapá
1890;;Amapá
1900;;Amapá
1920;;Amapá
1940;;Amapá
1950;37477;Amapá
1960;68889;Amapá
1970;116480;Amapá
1980;180078;Amapá
1991;288690;Amapá
2000;477032;Amapá
2010;669526;Amapá
2022;733759;Amapá
1872;57610;Amazonas
1890;147915;Amazonas
1900;249756;Amazonas
1920;363166;Amazonas
1940;438008;Amazonas
1950;514099;Amazonas
1960;721215;Amazonas
1970;960934;Amazonas
1980;1449135;Amazonas
1991;2102901;Amazonas
2000;2817252;Amazonas
2010;3483985;Amazonas
2022;3941613;Amazonas
1872;1379616;Bahia
1890;1919802;Bahia
1900;2117956;Bahia
1920;3334465;Bahia
1940;3918112;Bahia
1950;4834575;Bahia
1960;5990605;Bahia
1970;7583140;Bahia
1980;9597393;Bahia
1991;11855157;Bahia
2000;13085769;Bahia
2010;14016906;Bahia
2022;14141626;Bahia
1872;721686;Ceará
1890;805687;Ceará
1900;849127;Ceará
1920;1319228;Ceará
1940;2091032;Ceará
1950;2695450;Ceará
1960;3337856;Ceará
1970;4491590;Ceará
1980;5380432;Ceará
1991;6362620;Ceará
2000;7431597;Ceará
2010;8452381;Ceará
2022;8794957;Ceará
1872;;Distrito Federal
1890;;Distrito Federal
1900;;Distrito Federal
1920;;Distrito Federal
1940;;Distrito Federal
1950;;Distrito Federal
1960;141742;Distrito Federal
1970;546015;Distrito Federal
1980;1203333;Distrito Federal
1991;1598415;Distrito Federal
2000;2051146;Distrito Federal
2010;2570160;Distrito Federal
2022;2817381;Distrito Federal
1872;82137;Espírito Santo
1890;135997;Espírito Santo
1900;209783;Espírito Santo
1920;457328;Espírito Santo
1940;790149;Espírito Santo
1950;957238;Espírito Santo
1960;1418348;Espírito Santo
1970;1617857;Espírito Santo
1980;2063679;Espírito Santo
1991;2598505;Espírito Santo
2000;3097498;Espírito Santo
2010;3514952;Espírito Santo
2022;3833712;Espírito Santo
1872;160395;Goiás
1890;227572;Goiás
1900;255284;Goiás
1920;511919;Goiás
1940;661226;Goiás
1950;1010880;Goiás
1960;1626376;Goiás
1970;2460007;Goiás
1980;3229219;Goiás
1991;4012562;Goiás
2000;5004197;Goiás
2010;6003788;Goiás
2022;7056495;Goiás
1872;359040;Maranhão
1890;430854;Maranhão
1900;499308;Maranhão
1920;874337;Maranhão
1940;1235169;Maranhão
1950;1583248;Maranhão
1960;2492139;Maranhão
1970;3037135;Maranhão
1980;4097231;Maranhão
1991;4929029;Maranhão
2000;5657552;Maranhão
2010;6574789;Maranhão
2022;6776699;Maranhão
1872;;Mato Grosso do Sul
1890;;Mato Grosso do Sul
1900;;Mato Grosso do Sul
1920;;Mato Grosso do Sul
1940;238640;Mato Grosso do Sul
1950;309395;Mato Grosso do Sul
1960;579652;Mato Grosso do Sul
1970;1010731;Mato Grosso do Sul
1980;1401151;Mato Grosso do Sul
1991;1778741;Mato Grosso do Sul
2000;2078070;Mato Grosso do Sul
2010;2449024;Mato Grosso do Sul
2022;2757013;Mato Grosso do Sul
1872;60417;Mato Grosso
1890;92827;Mato Grosso
1900;118025;Mato Grosso
1920;246612;Mato Grosso
1940;193625;Mato Grosso
1950;212649;Mato Grosso
1960;330610;Mato Grosso
1970;612887;Mato Grosso
1980;1169812;Mato Grosso
1991;2022524;Mato Grosso
2000;2505245;Mato Grosso
2010;3035122;Mato Grosso
2022;3658649;Mato Grosso
1872;2039735;Minas Gerais
1890;3184099;Minas Gerais
